SIRET;L1_NOMEN;L2_COMP;L3_CADR;L4_VOIE;L5_DISP;L6_POST;DEPET;L7_ETRG;RPET;ARRONET;CTONET;COMET;LIBCOM;DU;EPCI;TU;UU;CODEVOIE;TCD;ZEMET;NUMVOIE;INDREP;TYPVOIE;LIBVOIE;CODPOS;CEDEX;ZR1;SIEGE;ENSEIGNE;NOM_COM;NATETAB;LIBNATETAB;APET700;LIBAPET;DAPET;TEFET;EFETCENT;DCRET;DEFET;ORIGINE;AMINTRET;ACTIVNAT;LIEUACT;ACTISURF;SAISONAT;MODET;AUXILT;PRODET;PRODPART;ZR2;NOMEN_LONG;SIGLE;CIVILITE;NJ;LIBNJ;APEN700;LIBAPEN;DAPEN;APRM;TEFEN;EFENCENT;DEFEN;CATEGORIE;DCREN;AMINTREN;MONOACT;MODEN;PRODEN;ESAANN;TCA;ESAAPEN;ESASEC1N;ESASEC2N;ESASEC3N;ESASEC4N;REGIMP;MONOREG;ZR3;RPEN;DEPCOMEN;VMAJ;VMAJ1;IND_PUBLIPO;VMAJ2;VMAJ3;MAJ_DATE
30581281000037;SOC EUR DE DISTRIBUTION DES ACIERS;"";"";CHEMIN DE CHARNEVAUX;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;"";"";"";ZI DE CHARNEVEAUX;38670;"";;0;"";;"";"";4672Z;Commerce de gros de minerais et métaux;2008;11;10;19820201;2015;1;201209;NR;05;2 ;P;S;0;O;"";;SOCIETE EUROPEENNE DE DISTRIBUTION DES ACIERS;EURODA;"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;4672Z;Commerce de gros de minerais et métaux;2008;"";11;10;2015;PME;19760101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;I;"";1;"";"";27/02/2018
30581281000037;SOC EUR DE DISTRIBUTION DES ACIERS;"";"";CHEMIN DE CHARNEVAUX;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;"";"";"";ZI DE CHARNEVEAUX;38670;"";;0;"";;"";"";4672Z;Commerce de gros de minerais et métaux;2008;11;10;19820201;2015;1;201209;NR;05;2 ;P;S;0;O; ;;SOCIETE EUROPEENNE DE DISTRIBUTION DES ACIERS;EURODA;"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;4612B;Autres interm. comm. combustibles métaux minéraux prod. chimiques;2015;"";11;10;2015;PME;19760101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;F;0;1;0;1;27/02/2018
31077562200023;CHASSE TRUCKS;VIENNE VEHICULES INDUSTRIELS;ZAC DES PLATIERES;327 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;327;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4519Z;Commerce d'autres véhicules automobiles;2013;02;3;20130101;2015;1;201302;12;05;"";P;S;0;O;"";;VIENNE VEHICULES INDUSTRIELS;"";"";5710;SAS, société par actions simplifiée;4519Z;Commerce d'autres véhicules automobiles;2008;"";12;20;2015;ETI;19770101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;I;"";1;"";"";27/02/2018
31077562200023;CHASSE TRUCKS;VIENNE VEHICULES INDUSTRIELS;ZAC DES PLATIERES;327 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;327;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4519Z;Commerce d'autres véhicules automobiles;2013;02;3;20130101;2015;1;201302;12;05;"";P;S;0;O; ;;VIENNE VEHICULES INDUSTRIELS;"";"";5710;SAS, société par actions simplifiée;4520B;Entretien et réparation d'autres véhicules automobiles;2015;"";12;20;2015;ETI;19770101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;F;0;1;0;1;27/02/2018
32010280900219;LAYHER;"";"";164 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;164;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4663Z;Comm de gros de machines pour l'extrac, la constr, le génie civil;2013;11;10;20131006;2015;1;201309;NR;NR;"";P;S;0;O;"";;LAYHER;"";"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;4663Z;Comm de gros de machines pour l'extrac, la constr, le génie civil;2008;"";22;100;2015;ETI;19800901;201209;1;S;O;2012;7;7732Z;7732Z;4663Z;"";"";;;;11;38087;I;"";1;"";"";27/02/2018
32010280900219;LAYHER;"";"";164 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;164;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4663Z;Comm de gros de machines pour l'extrac, la constr, le génie civil;2013;11;10;20131006;2015;1;201309;NR;NR;"";P;S;0;O; ;;LAYHER;"";"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;7732Z;Location et location-bail machines & équipts pour la construction;2015;"";22;100;2015;ETI;19800901;201209;1;S;O;2012;7;7732Z;7732Z;4663Z;"";"";;;;11;38087;F;0;1;0;1;27/02/2018
41190335400032;CODECO SYSTEM;"";ZONE ARTISANALE CHAMP DU ROY;317 CHEMIN DES GOULES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;317;"";CHE;DES GOULES;38670;"";;1;"";;"";"";4666Z;Commerce de gros d'autres machines et équipements de bureau;2008;03;6;20020722;2015;1;201209;"";"";"";P;S;0;O;"";;CODECO'SYSTEM;"";"";5499;Société à responsabilité limitée (sans autre indication);4666Z;Commerce de gros d'autres machines et équipements de bureau;2008;"";03;6;2015;PME;19970101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;I;"";1;"";"";27/02/2018
41190335400032;CODECO SYSTEM;"";ZONE ARTISANALE CHAMP DU ROY;317 CHEMIN DES GOULES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;317;"";CHE;DES GOULES;38670;"";;1;"";;"";"";4666Z;Commerce de gros d'autres machines et équipements de bureau;2008;03;6;20020722;2015;1;201209;"";"";"";P;S;0;O; ;;CODECO'SYSTEM;"";"";5498;SARL unipersonnelle ;4666Z;Commerce de gros d'autres machines et équipements de bureau;2008;"";03;6;2015;PME;19970101;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;F;0;1;0;1;27/02/2018
43529723900038;PHARM UP;"";"";104 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;104;"";AV;FREDERIC MISTRAL;38670;"";;0;"";;"";"";4646Z;Commerce de gros de produits pharmaceutiques;2016;00;NN;20161201;2016;1;201612;NR;NR;"";P;S;0;O;"";;PHARM'UP;"";"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;4638B;Commerce de gros alimentaire spécialisé divers;2013;"";12;20;2015;PME;20010417;201209;1;S;O;2012;4;4638B;4638B;4645Z;8299Z;4617B;;;;84;38087;I;"";1;"";"";27/02/2018
43529723900038;PHARM UP;"";"";104 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;104;"";AV;FREDERIC MISTRAL;38670;"";;0;"";;"";"";4646Z;Commerce de gros de produits pharmaceutiques;2016;00;NN;20161201;2016;1;201612;NR;NR;"";P;S;0;O; ;;PHARM'UP;"";"";5710;SAS, société par actions simplifiée;4638B;Commerce de gros alimentaire spécialisé divers;2013;"";12;20;2015;PME;20010417;201209;1;S;O;2012;4;4638B;4638B;4645Z;8299Z;4617B;;;;84;38087;F;0;1;0;1;27/02/2018
82295047300014;MADAME ALDA NOEL;"";"";225 ROUTE DU VERNEAT;"";38440 MOIDIEU DETOURBE;FRANCE;84;38;3;27;238;MOIDIEU DETOURBE;"";243800455;0;"";;14;8211;225;"";RTE;DU VERNEA;38440;"";;1;"";;2;Commerçant ;5610C;Restauration de type rapide;2016;00;NN;20161008;2016;1;201610;"";"";"";P;S;0;O;"";;LUKA*NOEL/ALDA/;"";2;"";"";5610C;Restauration de type rapide;2016;"";00;NN;2016;"";20161008;201610;"";S;O;"";"";"";"";"";"";"";;;;84;38238;E;"";1;"";"";27/02/2018
43834350100047;PERRENOT LYON;"";"";1272 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;1272;"";AV;FREDERIC MISTRAL;38670;"";;0;"";;"";"";4941B;Transports routiers de fret de proximité;2015;02;3;20150901;2015;1;201509;07;07;"";P;S;0;O;"";;PERRENOT LYON;SNTL;"";5710;SAS, société par actions simplifiée;4941B;Transports routiers de fret de proximité;2008;"";12;20;2015;ETI;20010620;201209;1;S;O;2012;3;4941B;4941B;7712Z;4520B;"";;;;84;38087;I;"";1;"";"";27/02/2018
43834350100047;PERRENOT LYON;"";"";1272 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;1272;"";AV;FREDERIC MISTRAL;38670;"";;0;"";;"";"";4941B;Transports routiers de fret de proximité;2015;02;3;20150901;2015;1;201509;07;07;"";P;S;0;O; ;;PERRENOT LYON;SNTL;"";5710;SAS, société par actions simplifiée;4941A;Transports routiers de fret interurbains;2015;"";12;20;2015;ETI;20010620;201209;1;S;O;2012;3;4941B;4941B;7712Z;4520B;"";;;;84;38087;F;0;1;0;1;27/02/2018
47845579302384;BOULANGERIE MARIE BLACHERE;BOULANGERIES BG;LIEUDIT LES ROUES;115 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;115;"";AV;FREDERIC MISTRAL;38670;"";;0;BOULANGERIE MARIE BLACHERE;;"";"";1071C;Boulangerie et boulangerie-pâtisserie;2016;11;NN;20160824;2016;1;201609;04;99;"";P;S;0;O;"";;BOULANGERIES BG;B B G;"";5710;SAS, société par actions simplifiée;5610C;Restauration de type rapide;2016;"";51;3100;2015;ETI;20040825;201209;3;S;O;2012;8;1071C;1071C;"";"";"";;;;93;38087;I;"";1;"";"";27/02/2018
