SIRET;L1_NOMEN;L2_COMP;L3_CADR;L4_VOIE;L5_DISP;L6_POST;DEPET;L7_ETRG;RPET;ARRONET;CTONET;COMET;LIBCOM;DU;EPCI;TU;UU;CODEVOIE;TCD;ZEMET;NUMVOIE;INDREP;TYPVOIE;LIBVOIE;CODPOS;CEDEX;ZR1;SIEGE;ENSEIGNE;NOM_COM;NATETAB;LIBNATETAB;APET700;LIBAPET;DAPET;TEFET;EFETCENT;DCRET;DEFET;ORIGINE;AMINTRET;ACTIVNAT;LIEUACT;ACTISURF;SAISONAT;MODET;AUXILT;PRODET;PRODPART;ZR2;NOMEN_LONG;SIGLE;CIVILITE;NJ;LIBNJ;APEN700;LIBAPEN;DAPEN;APRM;TEFEN;EFENCENT;DEFEN;CATEGORIE;DCREN;AMINTREN;MONOACT;MODEN;PRODEN;ESAANN;TCA;ESAAPEN;ESASEC1N;ESASEC2N;ESASEC3N;ESASEC4N;REGIMP;MONOREG;ZR3;RPEN;DEPCOMEN;VMAJ;VMAJ1;IND_PUBLIPO;VMAJ2;VMAJ3;MAJ_DATE
20004744700012;SM POUR CONSTRUCTION STATION EPURATION;MAIRIE;"";PLACE JEAN JAURES;BP 4;38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;"";"";PL;JEAN JAURES;38670;"";;1;"";;"";"";8412Z;Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.);2007;00;NN;20070101;2007;1;201409;"";"";"";P;S;0;O;"";;SYNDICAT INTERCOMMUNAL MIXTE POUR LA CONSTRUCTION D'UNE STATION D'EPURATION A CHASSE SUR RHONE;SISEC;"";7354;Syndicat mixte fermé;8412Z;Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.);2007;"";00;NN;2007;"";20070101;201409;1;S;O;"";"";"";"";"";"";"";;;;84;38087;E;"";1;"";"";27/02/2018
33032017700059;MIDI RHONE COMMUNICATION;MRC LYON;ACTIPOLE DES PLATIERES;81 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;81;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4743Z;Commerce de détail de matériels audio/vidéo en magasin spécialisé;2016;02;3;20160701;2016;1;201606;99;99;"";P;S;0;O;"";;MIDI RHONE COMMUNICATION;"";"";5499;Société à responsabilité limitée (sans autre indication);7311Z;Activités des agences de publicité;2014;"";12;20;2016;PME;19840621;201209;1;S;O;"";"";"";"";"";"";"";;;;76;38087;I;"";1;"";"";27/02/2018
33032017700059;MIDI RHONE COMMUNICATION;MRC LYON;ACTIPOLE DES PLATIERES;81 CHEMIN DES PLATIERES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;81;"";CHE;DES PLATIERES;38670;"";;0;"";;"";"";4743Z;Commerce de détail de matériels audio/vidéo en magasin spécialisé;2016;02;3;20160701;2016;1;201606;99;99;"";P;S;0;O; ;;MIDI RHONE COMMUNICATION;"";"";5499;Société à responsabilité limitée (sans autre indication);8020Z;Activités liées aux systèmes de sécurité;2018;"";12;20;2016;PME;19840621;201209;1;S;O;"";"";"";"";"";"";"";;;;76;38087;F;0;1;0;1;27/02/2018
34326262221491;LIDL;"";"";90 CHEMIN DES ROUES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;90;"";CHE;DES ROUES;38670;"";;0;LIDL;;"";"";4711D;Supermarchés;2018;11;NN;20180214;2018;1;201801;10;05;"";P;S;0;O; ;;LIDL;"";"";5202;Société en nom collectif ;4711D;Supermarchés;2010;"";53;31400;2016;GE;19871217;201209;3;S;O;"";"";"";"";"";"";"";;;;44;38087;C;"";1;"";"";27/02/2018
38370639703514;FRANS BONHOMME;"";"";90 CHEMIN DES ROUES;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;90;"";CHE;DES ROUES;38670;"";;0;"";;"";"";4673A;Commerce de gros de bois et de matériaux de construction;2010;01;1;20070701;2016;1;201209;NR;NR;"";P;S;0;O;"";;FRANS BONHOMME;"";"";5710;SAS, société par actions simplifiée;4673A;Commerce de gros de bois et de matériaux de construction;2012;"";51;2000;2016;ETI;19911031;201209;2;S;O;2014;9;4673A;4673A;8299Z;"";"";;;;24;38087;E;"";1;"";"";27/02/2018
38500804000029;MONSIEUR MARC COSDUT;"";"";1 ALLEE DES BALCONS DU PILAT;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;1;"";ALL;DES BALCONS DU PILAT;38670;"";;1;"";;5;Profession libérale ;8219Z;Photocopie prépa. documents & aut. activ. spéc. soutien de bureau;2016;00;NN;20160622;2016;1;201606;"";"";"";P;S;0;O;"";;COSDUT*MARC/;"";1;"";"";8219Z;Photocopie prépa. documents & aut. activ. spéc. soutien de bureau;2016;"";00;NN;2016;"";19920401;201606;1;S;O;"";"";"";"";"";"";"";;;;84;38087;E;"";1;"";"";27/02/2018
43529723900038;PHARM UP;"";"";104 AVENUE FREDERIC MISTRAL;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;104;"";AV;FREDERIC MISTRAL;38670;"";;0;"";;"";"";4646Z;Commerce de gros de produits pharmaceutiques;2016;00;0;20161201;2016;1;201612;NR;NR;"";P;S;0;O;"";;PHARM'UP;"";"";5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;4638B;Commerce de gros alimentaire spécialisé divers;2013;"";12;20;2016;PME;20010417;201209;1;S;O;2014;4;4638B;4638B;"";"";"";;;;84;38087;E;"";1;"";"";27/02/2018
44930305600013;GEO CONCEPT;"";"";98 CHEMIN DE MORAND;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;98;"";RUE;DE MORAND;38670;"";;1;"";;"";"";7112A;Activité des géomètres;2008;01;1;20030701;2015;1;201209;NR;99;"";P;S;0;O;"";;GEO CONCEPT;"";"";5498;SARL unipersonnelle ;7112A;Activité des géomètres;2008;"";01;1;2015;PME;20030701;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;E;"";1;"";"";27/02/2018
45370465200040;TPLM - 3D;"";ZA CHAMP DU ROY;"";"";38670 CHASSE SUR RHONE;"";84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;"";"";"";"";38670;"";;1;"";;"";"";7112B;Ingénierie, études techniques;2018;02;NN;20180101;2018;1;201801;"";"";"";P;S;0;O; ;;TPLM - 3D;"";"";5499;Société à responsabilité limitée (sans autre indication);7112B;Ingénierie, études techniques;2018;"";03;6;2016;PME;20040601;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;C;"";1;"";"";27/02/2018
51191291700024;MADAME KARIMA POLOCE;"";"";202 AVENUE FRANCOIS MITTERRAND;"";38670 CHASSE SUR RHONE;FRANCE;84;38;3;27;087;CHASSE SUR RHONE;00;243800455;7;58;;21;8214;202;"";AV;FRANCOIS MITTERAND;38670;"";;1;"";;5;Profession libérale ;8690D;Activités des infirmiers et des sages-femmes;2009;00;NN;20090507;2009;1;201209;"";"";"";P;S;0;O;"";;BRAHMI*POLOCE/KARIMA/;"";2;"";"";8690D;Activités des infirmiers et des sages-femmes;2009;"";00;NN;2009;PME;20090406;201209;1;S;O;"";"";"";"";"";"";"";;;;84;38087;E;"";1;"";"";27/02/2018
