SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
040376733,00016,FRANCOIS ROLAND,,,CHE DE LA CORNICHE,,38200 VIENNE,,FRANCOIS ROLAND,,,CHE DE LA CORNICHE,,38200 VIENNE,,,,CHE,DE LA CORNICHE,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,01,1,2006,1,19941225,19941225,NR,99,,P,S,N,,0,FRANCOIS ROLAND,,,,,,00016,84,38544,,9110,8110Z,2008,,,,01,1,2006,,19941225,201209,1,S,N,,,,,,,,,,,,1995-11-24T00:00:00,4.868795,45.510325,0.71,street,Chemin de la Corniche 38200 Vienne,38544_XXXX_8fa3e0,G
040451726,00018,COPROP IMM QUAI A FRANCE,39 ET 41,,QUAI ANATOLE FRANCE,,38200 VIENNE,FRANCE,COPROP IMM QUAI A FRANCE,,39 ET 41,QUAI ANATOLE FRANCE,,38200 VIENNE,,,,QUAI,ANATOLE FRANCE,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPROP IMM QUAI A FRANCE,,,,,,00018,84,38544,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1996-01-12T00:00:00,4.876811,45.529624,0.93,street,Quai Anatole France 38200 Vienne,38544_0070_97d5f5,G
040452690,00015,IMMEUBLE LE MARLY,,,RUE VIMAINE,,38200 VIENNE,FRANCE,IMMEUBLE LE MARLY,,,RUE VIMAINE,,38200 VIENNE,,,,RUE,VIMAINE,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,01,1,2015,1,19941225,19941225,NR,99,,P,S,N,,0,IMMEUBLE LE MARLY,,,,,,00015,84,38544,,9110,8110Z,2008,,,,01,1,2015,PME,19941225,201209,1,S,N,,,,,,,,,,,,2016-05-19T00:00:00,4.861774,45.512439,0.94,street,Rue Vimaine 38200 Vienne,38544_2180_b6374d,G
040452773,00019,COPROPRIETE PONSARD,,,RUE PONSARD,,38200 VIENNE,,COPROPRIETE PONSARD,,,RUE PONSARD,,38200 VIENNE,,,,RUE,PONSARD,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,COPROPRIETE PONSARD,,,,,,00019,84,38544,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,2000-11-08T00:00:00,4.875219,45.524847,0.93,street,Rue Ponsard 38200 Vienne,38544_1480_6123dd,G
040453185,00015,COPROPRIETE IMMEUBLE OLYMPIO,,,CHEMIN DE LA RECLUSIERE,,38200 VIENNE,FRANCE,COPROPRIETE IMMEUBLE OLYMPIO,,,CHE DE LA RECLUSIERE,,38200 VIENNE,,,,CHE,DE LA RECLUSIERE,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2015,1,19941225,19941225,NR,99,,P,S,N,,0,COPROPRIETE IMMEUBLE OLYMPIO,,,,,,00015,84,38544,,9110,8110Z,2008,,,,00,0,2015,PME,19941225,201209,1,S,N,,,,,,,,,,,,2016-10-07T00:00:00,4.869564,45.542218,0.73,street,Chemin de la Reclusière 38200 Vienne,38544_XXXX_be941c,G
040453409,00019,COPROPRIETE LES CHARAVELLES,,,CHE DE CHARAVEL,,38200 VIENNE,,COPROPRIETE LES CHARAVELLES,,,CHE DE CHARAVEL,,38200 VIENNE,,,,CHE,DE CHARAVEL,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,01,1,2015,1,19941225,19941225,NR,99,,P,S,N,,0,COPROPRIETE LES CHARAVELLES,,,,,,00019,84,38544,,9110,8110Z,2008,,,,01,1,2015,PME,19941225,201209,1,S,N,,,,,,,,,,,,1995-12-01T00:00:00,4.870716,45.540002,0.7,street,Rue de Charavel 38200 Vienne,38544_0321_abfe4d,G
040453466,00019,COPROPRIETE LE BELVEDERE,,,RUE DE LA CONVENTION,,38200 VIENNE,FRANCE,COPROPRIETE LE BELVEDERE,,,RUE DE LA CONVENTION,,38200 VIENNE,,,,RUE,DE LA CONVENTION,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,01,1,2015,1,19941225,19941225,NR,99,,P,S,N,,0,COPROPRIETE LE BELVEDERE,,,,,,00019,84,38544,,9110,8110Z,2008,,,,01,1,2015,PME,19941225,201209,1,S,N,,,,,,,,,,,,1995-12-01T00:00:00,4.865276,45.540492,0.93,street,Rue de la Convention 38200 Vienne,38544_0450_110dbb,G
040454829,00017,COPROP 16 MTE DES TUPINIERES,,,16 MTE DES TUPINIERES,,38200 VIENNE,,COPROP 16 MTE DES TUPINIERES,,,16 MTE DES TUPINIERES,,38200 VIENNE,,16,,MTE,DES TUPINIERES,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19960919,NR,99,,P,S,N,,0,COPROP 16 MTE DES TUPINIERES,,,,,,00017,84,38544,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,2003-02-12T00:00:00,4.878611,45.51887,0.63,street,Montée des Tupinières 38200 Vienne,38544_XXXX_24d1b7,G
040460008,00010,COPROP 1 R DU RHONE VIENNE,,,1 RUE DU RHONE,,38200 VIENNE,FRANCE,COPROP 1 R DU RHONE VIENNE,,,1 RUE DU RHONE,,38200 VIENNE,,1,,RUE,DU RHONE,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2007,1,19941225,19941225,NR,99,,P,S,N,,0,COPROP 1 R DU RHONE VIENNE,,,,,,00010,84,38544,,9110,8110Z,2008,,,,00,0,2007,,19941225,201209,1,S,N,,,,,,,,,,,,2008-04-13T00:00:00,4.87149,45.523729,0.93,housenumber,1 Rue du Rhône 38200 Vienne,ADRNIVX_0000000286462102,G
040465601,00017,IMM 18 R VICTOR FAUGIER,USINE,,18 RUE VICTOR FAUGIER,,38200 VIENNE,FRANCE,IMM 18 R VICTOR FAUGIER,,USINE,18 RUE VICTOR FAUGIER,,38200 VIENNE,,18,,RUE,VICTOR FAUGIER,38200,,38,544,42,1,,0,O,201209,,8110Z,2008,00,0,2004,1,19941225,19941225,NR,99,,P,S,N,,0,IMM 18 R VICTOR FAUGIER,,,,,,00017,84,38544,,9110,8110Z,2008,,,,00,0,2004,,19941225,201209,1,S,N,,,,,,,,,,,,1995-11-24T00:00:00,4.883575,45.526645,0.93,housenumber,18 Rue Victor Faugier 38200 Vienne,ADRNIVX_0000000286459288,G
